"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"1",1,1,"steven adams","C",21,"OKC",70,67,25.3,3.1,5.7,"0.544",0,0,"0",3.1,5.7,"0.547","0.544",1.5,2.9,"0.502",2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
"2",2,2,"alexis ajinca","C",26,"NOP",68,8,14.1,2.7,4.8,"0.55",0,0,"NA",2.7,4.8,"0.55","0.55",1.2,1.5,"0.818",1.5,3.1,4.6,0.7,0.3,0.8,1,2.2,6.5
"3",3,3,"cole aldrich","C",26,"NYK",61,16,16,2.4,4.9,"0.478",0,0,"NA",2.4,4.9,"0.478","0.478",0.8,1,"0.781",1.7,3.9,5.5,1.2,0.6,1.1,1,2,5.5
"4",4,4,"lavoy allen","C",25,"IND",63,0,17,2.2,4.7,"0.472",0,0,"NA",2.2,4.7,"0.472","0.472",0.5,0.7,"0.702",2,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5
"5",5,5,"chris andersen","C",36,"MIA",60,20,18.9,2,3.5,"0.58",0.1,0.2,"0.308",1.9,3.2,"0.598","0.589",1.3,1.9,"0.667",1.3,3.7,5,0.7,0.4,1,0.7,1.5,5.3
"6",6,6,"joel anthony","C",32,"DET",49,0,8.3,0.7,1.3,"0.581",0,0,"NA",0.7,1.3,"0.581","0.581",0.3,0.4,"0.682",0.7,1.2,1.9,0.1,0.2,1,0.2,1.1,1.8
"7",7,7,"pero antic","C",32,"ATL",63,3,16.5,1.7,4.7,"0.365",0.8,2.7,"0.301",0.9,2,"0.455","0.453",1.4,2,"0.715",0.9,2.1,3,0.8,0.3,0.2,0.8,2.1,5.7
"8",8,8,"omer asik","C",28,"NOP",76,76,26.1,2.8,5.4,"0.517",0,0,"NA",2.8,5.4,"0.517","0.517",1.7,3,"0.582",3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3
"9",9,9,"andrea bargnani","C",29,"NYK",29,22,27.1,5.7,12.4,"0.454",0.5,1.4,"0.366",5.1,11,"0.466","0.475",3,3.7,"0.813",1.1,3.3,4.4,1.6,0.1,0.9,1.4,1.8,14.8
"10",10,10,"earl barron","C",33,"PHO",16,1,8.9,0.8,2.4,"0.308",0.1,0.3,"0.5",0.6,2.2,"0.286","0.333",0.4,0.8,"0.5",0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2
